type,value,comment
filepath,%TEMP%\Doc.Files.Pron.ico,PDFDoc installer dropped shortcut icon
filepath,%TEMP%\DocID\DocID.txt,PDFDoc installer dropped machine GUID file
filepath,%TEMP%\...\UID.txt,PDFDoc installer dropped machine identifier file
sha256,865e689218d52d0d179659c1a9929231f9f4af0738835f768aff4242818b5a02,PowerDoc installer
sha256,84f4a3abbda52c9e4cda6232d05d0b07406f6b4f2c2432cc34b153a663eb20bb,PowerDoc dropped native.exe (cover app)
sha256,136876316fa5da917ab4d3b5b694dff98250d9f6b2151660a2b558bea870b0c0,PowerDoc dropped uninstall.exe
domain,ulinikio.com,PowerDoc primary C2
domain,lmbd.ulinikio.com,PowerDoc data exfiltration C2
domain,itayh.ulinikio.com,PowerDoc API for native.exe
domain,www.getpowerdoc.com,PowerDoc fake product website
domain,getpowerdoc.com,PowerDoc uninstall redirect
url,https://ulinikio.com/SlaPwrV,PowerDoc installer config fetch
url,https://ulinikio.com/SlaPwrLog,PowerDoc installer telemetry exfil
url,https://ulinikio.com/SlaPwrSuc,PowerDoc installer success beacon
url,https://lmbd.ulinikio.com/run,PowerDoc installer session init
url,https://lmbd.ulinikio.com/docMSlav,PowerDoc installer data exfil
url,https://itayh.ulinikio.com/powerdoc/,PowerDoc native.exe PDF API
url,https://www.getpowerdoc.com/powerd-welcome,PowerDoc installer post-install welcome page
url,https://getpowerdoc.com/powerd-goodbye,PowerDoc uninstaller goodbye page
certificate.subject,GOLD HARMONY LTD,PowerDoc installer/dropper signing cert subject
certificate.issuer,GlobalSign GCC R45 EV CodeSigning CA 2020,PowerDoc installer/dropper signing cert issuer
certificate.serial,4a6df66704fbd9b656c11ab6,PowerDoc installer/dropper signing cert serial
filepath,%LocalAppData%\pwrDoc\PowerDoc.exe,PowerDoc dropped cover application
filepath,%LocalAppData%\pwrDoc\uninstall.exe,PowerDoc dropped uninstaller
filepath,%LocalAppData%\pwrDoc\PowerDocIco.ico,PowerDoc dropped icon
filepath,%LocalAppData%\pwrDoc\pwrDoc.txt,PowerDoc machine GUID persistence file
filepath,%AppData%\myfile_backup.txt,PowerDoc transient backup during browser file replacement
filepath,%Desktop%\PowerDoc.lnk,PowerDoc installer desktop shortcut
sha256,cf1ea5d89495986f22cda4b87170a97afecc662293554b15493c11a1520153d6,PowerPlayer installer
domain,kolimau.com,PowerPlayer installer C2
domain,haha.kolimau.com,PowerPlayer installer payload delivery
url,https://kolimau.com/PowerPlayer-strings,PowerPlayer installer C2 config fetch
url,https://kolimau.com/PowerPlayer,PowerPlayer installer telemetry exfil
url,https://kolimau.com/Conv,PowerPlayer installer conversion tracking
url,https://haha.kolimau.com/api/action/PowerPlayerLatestVersion,PowerPlayer installer payload download
certificate.subject,TAMARISK INTERACTIVE LTD,PowerPlayer installer code-signing cert subject
certificate.issuer,GlobalSign GCC R45 EV CodeSigning CA 2020,PowerPlayer installer code-signing cert issuer
certificate.serial,32650e4c7423c72bda9565bf,PowerPlayer installer code-signing cert serial
filepath,%TEMP%\PwrId\PwrId.txt,PowerPlayer installer persistent victim GUID
filepath,%TEMP%\PowerPlayer.zip,PowerPlayer installer downloaded payload archive
filepath,%TEMP%\PowerPlayer\NativePowerPlayer.exe,PowerPlayer installer extracted companion binary
filepath,%TEMP%\PowerPlayer\UninstallPP.exe,PowerPlayer installer uninstaller
filepath,%USERPROFILE%\Desktop\PowerPlayer.lnk,PowerPlayer installer desktop shortcut
